date,tiker,close
2021-01-25,4230,24.3
2021-01-26,4230,24.9
2021-01-27,4230,25.75
2021-01-28,4230,25.9
2021-01-31,4230,25.55
2021-02-01,4230,25.45
2021-02-02,4230,27.95
2021-02-03,4230,26.2
2021-02-04,4230,26.15
2021-02-07,4230,26.3
2021-02-08,4230,26.35
2021-02-09,4230,26.5
2021-02-10,4230,26.9
2021-02-11,4230,28.05
2021-02-14,4230,27.9
2021-02-15,4230,27.7
2021-02-16,4230,27.85
2021-02-17,4230,27.2
2021-02-18,4230,27.0
2021-02-21,4230,27.25
2021-02-22,4230,27.2
2021-02-23,4230,27.9
2021-02-24,4230,27.0
2021-02-25,4230,28.2
2021-02-28,4230,28.65
2021-03-01,4230,28.7
2021-03-02,4230,31.05
2021-03-03,4230,30.2
2021-03-04,4230,30.1
2021-03-07,4230,31.8
2021-03-08,4230,31.6
2021-03-09,4230,30.0
2021-03-10,4230,30.2
2021-03-11,4230,30.3
2021-03-14,4230,29.05
2021-03-15,4230,29.1
2021-03-16,4230,28.05
2021-03-17,4230,27.5
2021-03-18,4230,28.0
2021-03-21,4230,28.2
2021-03-22,4230,28.5
2021-03-23,4230,27.65
2021-03-24,4230,27.2
2021-03-25,4230,26.8
2021-03-28,4230,27.15
2021-03-29,4230,27.9
2021-03-30,4230,27.7
2021-03-31,4230,27.3
2021-04-01,4230,27.35
2021-04-04,4230,27.5
2021-04-05,4230,28.55
2021-04-06,4230,28.65
2021-04-07,4230,28.2
2021-04-08,4230,27.9
2021-04-11,4230,28.0
2021-04-12,4230,27.9
2021-04-13,4230,27.5
2021-04-14,4230,27.3
2021-04-15,4230,27.9
2021-04-18,4230,27.85
2021-04-19,4230,27.75
2021-04-20,4230,28.2
2021-04-21,4230,28.05
2021-04-22,4230,27.9
2021-04-25,4230,28.1
2021-04-26,4230,28.2
2021-04-27,4230,28.35
2021-04-28,4230,28.05
2021-04-29,4230,28.3
2021-05-02,4230,28.0
2021-05-03,4230,27.9
2021-05-04,4230,27.8
2021-05-05,4230,27.55
2021-05-06,4230,27.6
2021-01-03,4240,22.6
2021-01-04,4240,22.68
2021-01-05,4240,22.12
2021-01-06,4240,22.0
2021-01-07,4240,21.98
2021-01-10,4240,22.18
2021-01-11,4240,22.16
2021-01-12,4240,21.9
2021-01-13,4240,22.1
2021-01-14,4240,22.08
2021-01-17,4240,21.92
2021-01-18,4240,21.76
2021-01-19,4240,21.68
2021-01-20,4240,21.44
2021-01-21,4240,21.44
2021-01-24,4240,21.26
2021-01-25,4240,21.42
2021-01-26,4240,21.3
2021-01-27,4240,21.32
2021-01-28,4240,21.3
2021-01-31,4240,20.84
2021-02-01,4240,20.36
2021-02-02,4240,20.38
2021-02-03,4240,19.88
2021-02-04,4240,19.42
2021-02-07,4240,20.86
2021-02-08,4240,21.0
2021-02-09,4240,20.38
2021-02-10,4240,19.92
2021-02-11,4240,19.48
2021-02-14,4240,19.58
2021-02-15,4240,19.22
2021-02-16,4240,18.9
2021-02-17,4240,19.98
2021-02-18,4240,19.4
2021-02-21,4240,19.32
2021-02-22,4240,19.3
2021-02-23,4240,19.66
2021-02-24,4240,19.2
2021-02-25,4240,19.5
2021-02-28,4240,19.38
2021-03-01,4240,19.42
2021-03-02,4240,20.3
2021-03-03,4240,20.92
2021-03-04,4240,20.94
2021-03-07,4240,21.1
2021-03-08,4240,21.18
2021-03-09,4240,21.6
2021-03-10,4240,22.18
2021-03-11,4240,22.02
2021-03-14,4240,21.92
2021-03-15,4240,21.66
2021-03-16,4240,21.32
2021-03-17,4240,22.0
2021-03-18,4240,22.38
2021-03-21,4240,22.68
2021-03-22,4240,22.82
2021-03-23,4240,22.4
2021-03-24,4240,22.34
2021-03-25,4240,22.36
2021-03-28,4240,22.1
2021-03-29,4240,22.6
2021-03-30,4240,22.4
2021-03-31,4240,22.52
2021-04-01,4240,22.26
2021-04-04,4240,22.24
2021-04-05,4240,22.34
2021-04-06,4240,22.28
2021-04-07,4240,22.18
2021-04-08,4240,22.1
2021-04-11,4240,21.86
2021-04-12,4240,22.0
2021-04-13,4240,21.5
2021-04-14,4240,21.3
2021-04-15,4240,21.34
2021-04-18,4240,21.6
2021-04-19,4240,21.32
2021-04-20,4240,21.42
2021-04-21,4240,21.44
2021-04-22,4240,21.3
2021-04-25,4240,20.98
2021-04-26,4240,21.08
2021-04-27,4240,21.36
2021-04-28,4240,21.28
2021-04-29,4240,21.64
2021-05-02,4240,22.0
2021-05-03,4240,22.12
2021-05-04,4240,22.28
2021-05-05,4240,21.8
2021-05-06,4240,21.64
2021-01-03,5110,21.2
2021-01-04,5110,21.18
2021-01-05,5110,21.34
2021-01-06,5110,21.3
2021-01-07,5110,21.56
2021-01-10,5110,22.1
2021-01-11,5110,22.22
2021-01-12,5110,22.18
2021-01-13,5110,22.1
2021-01-14,5110,22.0
2021-01-17,5110,21.84
2021-01-18,5110,22.3
2021-01-19,5110,22.26
2021-01-20,5110,22.42
2021-01-21,5110,22.76
2021-01-24,5110,22.72
2021-01-25,5110,22.86
2021-01-26,5110,22.46
2021-01-27,5110,22.0
2021-01-28,5110,22.2
2021-01-31,5110,21.9
2021-02-01,5110,21.5
2021-02-02,5110,21.24
2021-02-03,5110,21.58
2021-02-04,5110,21.84
2021-02-07,5110,21.82
2021-02-08,5110,22.02
2021-02-09,5110,22.1
2021-02-10,5110,22.12
2021-02-11,5110,22.14
2021-02-14,5110,22.14
2021-02-15,5110,22.16
2021-02-16,5110,22.04
2021-02-17,5110,22.18
2021-02-18,5110,21.9
2021-02-21,5110,22.0
2021-02-22,5110,21.64
2021-02-23,5110,21.7
2021-02-24,5110,21.6
2021-02-25,5110,21.08
2021-02-28,5110,21.1
2021-03-01,5110,21.02
2021-03-02,5110,21.14
2021-03-03,5110,21.44
2021-03-04,5110,21.24
2021-03-07,5110,21.48
2021-03-08,5110,21.52
2021-03-09,5110,21.4
2021-03-10,5110,21.78
2021-03-11,5110,21.48
2021-03-14,5110,21.68
2021-03-15,5110,21.6
2021-03-16,5110,21.44
2021-03-17,5110,21.52
2021-03-18,5110,21.44
2021-03-21,5110,21.48
2021-03-22,5110,21.44
2021-03-23,5110,21.42
2021-03-24,5110,21.3
2021-03-25,5110,21.2
2021-03-28,5110,21.28
2021-03-29,5110,21.36
2021-03-30,5110,23.48
2021-03-31,5110,23.5
2021-04-01,5110,22.98
2021-04-04,5110,23.0
2021-04-05,5110,24.08
2021-04-06,5110,24.88
2021-04-07,5110,24.8
2021-04-08,5110,24.78
2021-04-11,5110,24.9
2021-04-12,5110,24.84
2021-04-13,5110,24.8
2021-04-14,5110,24.4
2021-04-15,5110,24.48
2021-04-18,5110,25.05
2021-04-19,5110,25.15
2021-04-20,5110,24.92
2021-04-21,5110,25.0
2021-04-22,5110,25.4
2021-04-25,5110,26.05
2021-04-26,5110,26.2
2021-04-27,5110,26.0
2021-04-28,5110,27.05
2021-04-29,5110,26.0
2021-05-02,5110,25.95
2021-05-03,5110,25.7
2021-05-04,5110,25.1
2021-05-05,5110,24.2
2021-05-06,5110,23.66
2021-01-03,6010,29.15
2021-01-04,6010,29.5
2021-01-05,6010,29.55
2021-01-06,6010,29.6
2021-01-07,6010,29.5
2021-01-10,6010,29.7
2021-01-11,6010,29.95
2021-01-12,6010,29.5
2021-01-13,6010,30.0
2021-01-14,6010,30.0
2021-01-17,6010,29.65
2021-01-18,6010,29.3
2021-01-19,6010,29.3
2021-01-20,6010,29.15
2021-01-21,6010,29.4
2021-01-24,6010,29.2
2021-01-25,6010,29.2
2021-01-26,6010,29.0
2021-01-27,6010,28.8
2021-01-28,6010,28.85
2021-01-31,6010,28.4
2021-02-01,6010,28.1
2021-02-02,6010,27.9
2021-02-03,6010,27.1
2021-02-04,6010,27.35
2021-02-07,6010,28.1
2021-02-08,6010,28.95
2021-02-09,6010,29.95
2021-02-10,6010,30.9
2021-02-11,6010,30.25
2021-02-14,6010,31.15
2021-02-15,6010,31.55
2021-02-16,6010,32.45
2021-02-17,6010,31.55
2021-02-18,6010,31.5
2021-02-21,6010,31.15
2021-02-22,6010,32.5
2021-02-23,6010,31.95
2021-02-24,6010,31.1
2021-02-25,6010,31.35
2021-02-28,6010,31.1
2021-03-01,6010,31.05
2021-03-02,6010,31.95
2021-03-03,6010,33.15
2021-03-04,6010,32.65
2021-03-07,6010,32.65
2021-03-08,6010,33.0
2021-03-09,6010,32.6
2021-03-10,6010,31.8
2021-03-11,6010,31.4
2021-03-14,6010,31.45
2021-03-15,6010,31.8
2021-03-16,6010,31.0
2021-03-17,6010,30.7
2021-03-18,6010,30.8
2021-03-21,6010,31.55
2021-03-22,6010,31.3
2021-03-23,6010,31.25
2021-03-24,6010,31.05
2021-03-25,6010,31.25
2021-03-28,6010,31.25
2021-03-29,6010,31.7
2021-03-30,6010,31.5
2021-03-31,6010,31.5
2021-04-01,6010,32.1
2021-04-04,6010,32.4
2021-04-05,6010,32.8
2021-04-06,6010,34.7
2021-04-07,6010,34.3
2021-04-08,6010,34.05
2021-04-11,6010,35.0
2021-04-12,6010,34.2
2021-04-13,6010,33.75
2021-04-14,6010,34.0
2021-04-15,6010,34.5
2021-04-18,6010,34.6
2021-04-19,6010,34.5
2021-04-20,6010,37.95
2021-04-21,6010,39.5
2021-04-22,6010,38.2
2021-04-25,6010,42.0
2021-04-26,6010,42.1
2021-04-27,6010,42.05
2021-04-28,6010,41.3
2021-04-29,6010,40.75
2021-05-02,6010,40.4
2021-05-03,6010,40.15
2021-05-04,6010,39.85
2021-05-05,6010,39.95
2021-05-06,6010,40.85
2021-01-03,6020,18.86
2021-01-04,6020,18.9
2021-01-05,6020,18.72
2021-01-06,6020,18.36
2021-01-07,6020,18.52
2021-01-10,6020,18.7
2021-01-11,6020,18.9
2021-01-12,6020,18.9
2021-01-13,6020,19.08
2021-01-14,6020,18.9
2021-01-17,6020,18.84
2021-01-18,6020,18.86
2021-01-19,6020,19.06
2021-01-20,6020,18.86
2021-01-21,6020,19.52
2021-01-24,6020,20.1
2021-01-25,6020,19.74
2021-01-26,6020,19.8
2021-01-27,6020,19.52
2021-01-28,6020,19.28
2021-01-31,6020,18.76
2021-02-01,6020,19.04
2021-02-02,6020,18.62
2021-02-03,6020,18.42
2021-02-04,6020,18.54
2021-02-07,6020,19.0
2021-02-08,6020,19.6
2021-02-09,6020,20.36
2021-02-10,6020,19.88
2021-02-11,6020,19.74
2021-02-14,6020,21.7
2021-02-15,6020,23.86
2021-02-16,6020,26.2
2021-02-17,6020,25.1
2021-02-18,6020,25.2
2021-02-21,6020,25.25
2021-02-22,6020,27.75
2021-02-23,6020,27.3
2021-02-24,6020,25.45
2021-02-25,6020,26.6
2021-02-28,6020,26.95
2021-03-01,6020,26.45
2021-03-02,6020,25.9
2021-03-03,6020,28.45
2021-03-04,6020,29.85
2021-03-07,6020,29.3
2021-03-08,6020,28.75
2021-03-09,6020,28.9
2021-03-10,6020,28.1
2021-03-11,6020,28.1
2021-03-14,6020,27.9
2021-03-15,6020,28.6
2021-03-16,6020,28.0
2021-03-17,6020,27.45
2021-03-18,6020,27.5
2021-03-21,6020,29.4
2021-03-22,6020,28.8
2021-03-23,6020,28.35
2021-03-24,6020,28.2
